Session,Date,Time,Alertness,Sharpness,Coding,Design Copy,Finger Tapping,Simple Reaction Time,Sorting,Visual Backward Digit Span
1,03/02,7:29:00 AM,2,5,535.836,482.493,434.962,430.6,551.951,468.482
2,03/03,7:28:00 AM,3,3,524.798,577.79,361.865,571.783,572.558,549.522
3,03/04,8:57 AM,3,4,547.56,504.674,483.52,523.819,596.365,548.02
4,03/05,8:09 AM,3,4,593.359,513.681,666.7,594.71,602.009,667.308
5,03/06,8:16 AM,2,4,534.533,649.864,698.195,583.635,603.064,622.449
6,03/07,11:07 AM,4,4,575.182,510.128,627.418,560.807,604.601,662.85
7,03/08,11:35 AM,4,4,567.461,570.271,668.083,605.748,585.448,691.603
8,03/09,9:05 AM,3,3,533.702,603.636,683.641,666.264,611.088,569.569
9,03/10,8:41 AM,3,3,524.298,641.947,657.029,550.512,593.181,630.42
10,03/11,9:23 AM,4,4,528.402,652.89,667.696,568.6,603.264,685.057
11,03/12,9:02 AM,3,4,592.311,626.574,709.626,614.996,599.18,460.31
12,03/13,10:14 AM,4,4,569.074,709.087,660.377,564.125,584.808,597.296
13,03/14,10:40 AM,4,5,571.347,572.797,711.829,569.618,614.78,600.296
14,03/15,10:38 AM,3,4,522.039,644.61,638.76,524.706,619.767,623.886
